country_code,year,diseases,sex,death_rate
BLZ,2021,hiv/aids,FMLE,19.35
BLZ,2021,acute hepatitis b,FMLE,0.02
BLZ,2021,trichomoniasis,FMLE,0.0
BLZ,2021,acute hepatitis e,FMLE,0.01
BLZ,2021,chlamydia,FMLE,0.02
BLZ,2021,malaria,FMLE,0.0
BLZ,2021,acute hepatitis c,FMLE,0.0
BOL,2021,acute hepatitis a,FMLE,0.04
BOL,2021,malaria,FMLE,0.03
BOL,2021,acute hepatitis c,FMLE,0.01
BOL,2021,hiv/aids,FMLE,4.07
BOL,2021,acute hepatitis b,FMLE,0.02
BOL,2021,chlamydia,FMLE,0.02
BOL,2021,trichomoniasis,FMLE,0.0
BOL,2021,acute hepatitis e,FMLE,0.0
BOL,2021,syphilis,FMLE,1.48
BOL,2021,genital herpes,FMLE,0.0
BOL,2021,tuberculosis,FMLE,11.03
BRA,2021,acute hepatitis a,FMLE,0.31
BRA,2021,acute hepatitis c,FMLE,0.37
BRA,2021,malaria,FMLE,0.02
BRA,2021,chlamydia,FMLE,0.0
BRA,2021,acute hepatitis e,FMLE,0.01
BRA,2021,trichomoniasis,FMLE,0.0
BRA,2021,tuberculosis,FMLE,2.31
BRA,2021,hiv/aids,FMLE,3.61
BRA,2021,acute hepatitis b,FMLE,0.22
BRA,2021,syphilis,FMLE,0.1
BRA,2021,genital herpes,FMLE,0.0
BRB,2021,acute hepatitis c,FMLE,0.01
BRB,2021,chlamydia,FMLE,0.02
BRB,2021,malaria,FMLE,0.0
BRB,2021,trichomoniasis,FMLE,0.0
BRB,2021,acute hepatitis e,FMLE,0.01
BRB,2021,hiv/aids,FMLE,11.33
BRB,2021,acute hepatitis b,FMLE,0.03
BRB,2021,tuberculosis,FMLE,0.47
BRB,2021,syphilis,FMLE,0.03
BRB,2021,genital herpes,FMLE,0.0
BRB,2021,acute hepatitis a,FMLE,0.03
BRN,2021,trichomoniasis,FMLE,0.0
BRN,2021,acute hepatitis e,FMLE,0.01
BRN,2021,hiv/aids,FMLE,0.0
BRN,2021,acute hepatitis b,FMLE,0.97
BRN,2021,acute hepatitis c,FMLE,0.71
BRN,2021,chlamydia,FMLE,0.0
BRN,2021,malaria,FMLE,0.0
BRN,2021,acute hepatitis a,FMLE,0.22
BRN,2021,tuberculosis,FMLE,5.45
BRN,2021,genital herpes,FMLE,0.0
BRN,2021,syphilis,FMLE,0.15
BTN,2021,tuberculosis,FMLE,26.28
BTN,2021,trichomoniasis,FMLE,0.0
BTN,2021,hiv/aids,FMLE,3.14
BTN,2021,acute hepatitis b,FMLE,0.48
BTN,2021,acute hepatitis a,FMLE,0.33
BTN,2021,syphilis,FMLE,0.81
BTN,2021,genital herpes,FMLE,0.0
BTN,2021,acute hepatitis c,FMLE,0.21
BTN,2021,chlamydia,FMLE,0.04
BTN,2021,acute hepatitis e,FMLE,0.05
BTN,2021,malaria,FMLE,0.0
BWA,2021,tuberculosis,FMLE,55.06
BWA,2021,genital herpes,FMLE,0.0
BWA,2021,syphilis,FMLE,1.51
BWA,2021,acute hepatitis a,FMLE,0.06
BWA,2021,acute hepatitis c,FMLE,0.02
BWA,2021,malaria,FMLE,0.16
BWA,2021,chlamydia,FMLE,0.05
BWA,2021,trichomoniasis,FMLE,0.0
BWA,2021,acute hepatitis e,FMLE,0.01
BWA,2021,hiv/aids,FMLE,139.8
BWA,2021,acute hepatitis b,FMLE,0.19
CAF,2021,acute hepatitis c,FMLE,0.14
CAF,2021,malaria,FMLE,103.2
CAF,2021,syphilis,FMLE,3.99
CAF,2021,acute hepatitis a,FMLE,0.81
CAF,2021,hiv/aids,FMLE,95.39
CAF,2021,acute hepatitis b,FMLE,1.01
CAF,2021,tuberculosis,FMLE,148.95
CAF,2021,genital herpes,FMLE,0.0
CAF,2021,chlamydia,FMLE,0.05
CAF,2021,trichomoniasis,FMLE,0.0
CAF,2021,acute hepatitis e,FMLE,0.04
CAN,2021,acute hepatitis c,FMLE,0.36
CAN,2021,syphilis,FMLE,0.01
CAN,2021,genital herpes,FMLE,0.0
CAN,2021,acute hepatitis a,FMLE,0.05
CAN,2021,hiv/aids,FMLE,0.14
CAN,2021,acute hepatitis b,FMLE,0.11
CAN,2021,tuberculosis,FMLE,0.24
CAN,2021,malaria,FMLE,0.0
CAN,2021,chlamydia,FMLE,0.0
CAN,2021,trichomoniasis,FMLE,0.0
CAN,2021,acute hepatitis e,FMLE,0.0
CHE,2021,chlamydia,FMLE,0.0
CHE,2021,acute hepatitis e,FMLE,0.02
CHE,2021,trichomoniasis,FMLE,0.0
CHE,2021,tuberculosis,FMLE,0.15
CHE,2021,hiv/aids,FMLE,0.22
CHE,2021,acute hepatitis b,FMLE,0.01
CHE,2021,syphilis,FMLE,0.02
CHE,2021,genital herpes,FMLE,0.0
CHE,2021,acute hepatitis a,FMLE,0.09
CHE,2021,acute hepatitis c,FMLE,0.0
CHE,2021,malaria,FMLE,0.0
CHL,2021,syphilis,FMLE,0.02
CHL,2021,acute hepatitis a,FMLE,0.02
CHL,2021,hiv/aids,FMLE,0.85
CHL,2021,acute hepatitis b,FMLE,0.08
CHL,2021,tuberculosis,FMLE,1.08
CHL,2021,genital herpes,FMLE,0.0
CHL,2021,chlamydia,FMLE,0.0
CHL,2021,trichomoniasis,FMLE,0.0
CHL,2021,acute hepatitis e,FMLE,0.02
CHL,2021,acute hepatitis c,FMLE,0.05
CHL,2021,malaria,FMLE,0.0
CHN,2021,acute hepatitis c,FMLE,0.0
CHN,2021,acute hepatitis a,FMLE,0.0
CHN,2021,chlamydia,FMLE,0.01
CHN,2021,acute hepatitis e,FMLE,0.0
CHN,2021,malaria,FMLE,0.0
CHN,2021,tuberculosis,FMLE,1.48
CHN,2021,hiv/aids,FMLE,1.47
CHN,2021,acute hepatitis b,FMLE,0.09
CHN,2021,trichomoniasis,FMLE,0.0
CHN,2021,syphilis,FMLE,0.12
CHN,2021,genital herpes,FMLE,0.0
CIV,2021,chlamydia,FMLE,0.01
CIV,2021,trichomoniasis,FMLE,0.0
CIV,2021,acute hepatitis e,FMLE,0.01
CIV,2021,hiv/aids,FMLE,36.63
CIV,2021,acute hepatitis b,FMLE,0.22
CIV,2021,tuberculosis,FMLE,23.39
CIV,2021,genital herpes,FMLE,0.0
CIV,2021,syphilis,FMLE,3.46
CIV,2021,acute hepatitis a,FMLE,0.09
CIV,2021,acute hepatitis c,FMLE,0.04
CIV,2021,malaria,FMLE,42.61
CMR,2021,tuberculosis,FMLE,43.95
CMR,2021,hiv/aids,FMLE,45.11
CMR,2021,acute hepatitis b,FMLE,0.12
CMR,2021,chlamydia,FMLE,0.02
CMR,2021,trichomoniasis,FMLE,0.0
CMR,2021,acute hepatitis e,FMLE,0.01
CMR,2021,malaria,FMLE,45.94
CMR,2021,acute hepatitis c,FMLE,0.02
CMR,2021,acute hepatitis a,FMLE,0.07
CMR,2021,syphilis,FMLE,4.96
CMR,2021,genital herpes,FMLE,0.0
COD,2021,trichomoniasis,FMLE,0.0
COD,2021,acute hepatitis e,FMLE,0.02
COD,2021,hiv/aids,FMLE,14.83
COD,2021,acute hepatitis b,FMLE,0.16
COD,2021,tuberculosis,FMLE,48.33
COD,2021,genital herpes,FMLE,0.0
COD,2021,syphilis,FMLE,5.66
COD,2021,acute hepatitis a,FMLE,0.15
COD,2021,acute hepatitis c,FMLE,0.03
COD,2021,malaria,FMLE,71.99
COD,2021,chlamydia,FMLE,0.03
COG,2021,acute hepatitis a,FMLE,0.15
COG,2021,acute hepatitis c,FMLE,0.03
COG,2021,malaria,FMLE,35.73
COG,2021,chlamydia,FMLE,0.03
COG,2021,acute hepatitis e,FMLE,0.01
COG,2021,trichomoniasis,FMLE,0.0
COG,2021,hiv/aids,FMLE,155.37
COG,2021,acute hepatitis b,FMLE,0.62
COG,2021,tuberculosis,FMLE,99.51
COG,2021,genital herpes,FMLE,0.0
COG,2021,syphilis,FMLE,1.86
COL,2021,acute hepatitis c,FMLE,0.07
COL,2021,syphilis,FMLE,0.06
COL,2021,acute hepatitis a,FMLE,0.09
COL,2021,hiv/aids,FMLE,2.18
COL,2021,acute hepatitis b,FMLE,0.07
COL,2021,tuberculosis,FMLE,2.96
COL,2021,genital herpes,FMLE,0.0
COL,2021,chlamydia,FMLE,0.0
COL,2021,malaria,FMLE,0.02
COL,2021,trichomoniasis,FMLE,0.0
COL,2021,acute hepatitis e,FMLE,0.0
COM,2021,acute hepatitis c,FMLE,0.09
COM,2021,malaria,FMLE,3.27
COM,2021,chlamydia,FMLE,0.07
COM,2021,acute hepatitis e,FMLE,0.01
COM,2021,trichomoniasis,FMLE,0.0
COM,2021,hiv/aids,FMLE,0.2
COM,2021,tuberculosis,FMLE,8.29
COM,2021,acute hepatitis b,FMLE,0.42
COM,2021,syphilis,FMLE,2.78
COM,2021,genital herpes,FMLE,0.0
COM,2021,acute hepatitis a,FMLE,0.32
CPV,2021,tuberculosis,FMLE,2.44
CPV,2021,syphilis,FMLE,0.35
CPV,2021,genital herpes,FMLE,0.0
CPV,2021,acute hepatitis a,FMLE,0.03
CPV,2021,acute hepatitis c,FMLE,0.02
CPV,2021,chlamydia,FMLE,0.0
CPV,2021,malaria,FMLE,0.0
CPV,2021,trichomoniasis,FMLE,0.0
CPV,2021,acute hepatitis e,FMLE,0.01
CPV,2021,hiv/aids,FMLE,6.71
CPV,2021,acute hepatitis b,FMLE,0.22
CRI,2021,chlamydia,FMLE,0.0
CRI,2021,acute hepatitis e,FMLE,0.0
CRI,2021,malaria,FMLE,0.0
CRI,2021,acute hepatitis c,FMLE,0.04
CRI,2021,acute hepatitis a,FMLE,0.05
CRI,2021,syphilis,FMLE,0.02
CRI,2021,genital herpes,FMLE,0.0
CRI,2021,tuberculosis,FMLE,0.7
CRI,2021,hiv/aids,FMLE,1.14
CRI,2021,acute hepatitis b,FMLE,0.08
CRI,2021,trichomoniasis,FMLE,0.0
CUB,2021,syphilis,FMLE,0.0
CUB,2021,genital herpes,FMLE,0.0
CUB,2021,tuberculosis,FMLE,0.19
CUB,2021,hiv/aids,FMLE,1.28
CUB,2021,acute hepatitis b,FMLE,0.37
CUB,2021,trichomoniasis,FMLE,0.0
CUB,2021,chlamydia,FMLE,0.0
CUB,2021,acute hepatitis e,FMLE,0.01
CUB,2021,malaria,FMLE,0.0
CUB,2021,acute hepatitis c,FMLE,0.43
CUB,2021,acute hepatitis a,FMLE,0.02
CYP,2021,hiv/aids,FMLE,0.0
CYP,2021,acute hepatitis b,FMLE,0.0
CYP,2021,chlamydia,FMLE,0.0
CYP,2021,trichomoniasis,FMLE,0.0
CYP,2021,acute hepatitis e,FMLE,0.0
CYP,2021,malaria,FMLE,0.0
CYP,2021,acute hepatitis c,FMLE,0.0
CYP,2021,acute hepatitis a,FMLE,0.08
CYP,2021,syphilis,FMLE,0.07
CYP,2021,genital herpes,FMLE,0.0
CYP,2021,tuberculosis,FMLE,0.87
CZE,2021,chlamydia,FMLE,0.0
CZE,2021,acute hepatitis e,FMLE,0.0
CZE,2021,malaria,FMLE,0.0
CZE,2021,acute hepatitis c,FMLE,0.14
CZE,2021,acute hepatitis a,FMLE,0.95
CZE,2021,syphilis,FMLE,0.0
CZE,2021,genital herpes,FMLE,0.0
CZE,2021,tuberculosis,FMLE,0.15
CZE,2021,hiv/aids,FMLE,0.06
CZE,2021,acute hepatitis b,FMLE,0.06
CZE,2021,trichomoniasis,FMLE,0.0
DEU,2021,acute hepatitis c,FMLE,0.33
DEU,2021,malaria,FMLE,0.0
DEU,2021,syphilis,FMLE,0.01
DEU,2021,acute hepatitis a,FMLE,0.16
DEU,2021,hiv/aids,FMLE,0.11
DEU,2021,acute hepatitis b,FMLE,0.07
DEU,2021,tuberculosis,FMLE,0.27
DEU,2021,genital herpes,FMLE,0.0
DEU,2021,chlamydia,FMLE,0.0
DEU,2021,acute hepatitis e,FMLE,0.11
DEU,2021,trichomoniasis,FMLE,0.0
DJI,2021,chlamydia,FMLE,0.11
DJI,2021,trichomoniasis,FMLE,0.0
DJI,2021,acute hepatitis e,FMLE,0.02
DJI,2021,hiv/aids,FMLE,49.65
DJI,2021,acute hepatitis b,FMLE,0.57
DJI,2021,tuberculosis,FMLE,19.68
DJI,2021,genital herpes,FMLE,0.0
DJI,2021,syphilis,FMLE,3.25
DJI,2021,acute hepatitis a,FMLE,0.39
DJI,2021,acute hepatitis c,FMLE,0.13
DJI,2021,malaria,FMLE,10.82
DNK,2021,syphilis,FMLE,0.0
DNK,2021,tuberculosis,FMLE,0.04
DNK,2021,genital herpes,FMLE,0.0
DNK,2021,hiv/aids,FMLE,0.0
DNK,2021,acute hepatitis b,FMLE,0.0
DNK,2021,trichomoniasis,FMLE,0.0
DNK,2021,acute hepatitis e,FMLE,0.0
DNK,2021,chlamydia,FMLE,0.0
DNK,2021,malaria,FMLE,0.0
DNK,2021,acute hepatitis c,FMLE,0.19
DNK,2021,acute hepatitis a,FMLE,0.27
DOM,2021,acute hepatitis a,FMLE,0.01
DOM,2021,syphilis,FMLE,1.71
DOM,2021,genital herpes,FMLE,0.0
DOM,2021,tuberculosis,FMLE,2.97
DOM,2021,hiv/aids,FMLE,15.4
DOM,2021,acute hepatitis b,FMLE,0.02
DOM,2021,trichomoniasis,FMLE,0.0
DOM,2021,acute hepatitis e,FMLE,0.0
DOM,2021,chlamydia,FMLE,0.05
DOM,2021,malaria,FMLE,0.01
DOM,2021,acute hepatitis c,FMLE,0.01
DZA,2021,malaria,FMLE,0.0
DZA,2021,acute hepatitis c,FMLE,0.0
DZA,2021,acute hepatitis a,FMLE,0.04
DZA,2021,syphilis,FMLE,0.29
DZA,2021,genital herpes,FMLE,0.0
DZA,2021,tuberculosis,FMLE,6.3
DZA,2021,hiv/aids,FMLE,0.66
DZA,2021,acute hepatitis b,FMLE,0.3
DZA,2021,trichomoniasis,FMLE,0.0
DZA,2021,chlamydia,FMLE,0.0
DZA,2021,acute hepatitis e,FMLE,0.01
ECU,2021,syphilis,FMLE,0.49
ECU,2021,tuberculosis,FMLE,2.64
ECU,2021,genital herpes,FMLE,0.0
ECU,2021,acute hepatitis a,FMLE,0.49
ECU,2021,chlamydia,FMLE,0.0
ECU,2021,malaria,FMLE,0.0
ECU,2021,acute hepatitis c,FMLE,0.01
ECU,2021,hiv/aids,FMLE,1.81
ECU,2021,acute hepatitis b,FMLE,0.02
ECU,2021,trichomoniasis,FMLE,0.0
ECU,2021,acute hepatitis e,FMLE,0.0
EGY,2021,chlamydia,FMLE,0.01
EGY,2021,trichomoniasis,FMLE,0.0
EGY,2021,acute hepatitis e,FMLE,0.01
EGY,2021,hiv/aids,FMLE,0.26
EGY,2021,acute hepatitis b,FMLE,0.67
EGY,2021,acute hepatitis c,FMLE,0.01
EGY,2021,malaria,FMLE,0.0
EGY,2021,acute hepatitis a,FMLE,0.06
EGY,2021,tuberculosis,FMLE,0.39
EGY,2021,syphilis,FMLE,0.43
EGY,2021,genital herpes,FMLE,0.0
ERI,2021,acute hepatitis c,FMLE,0.17
ERI,2021,chlamydia,FMLE,0.09
ERI,2021,malaria,FMLE,5.72
ERI,2021,trichomoniasis,FMLE,0.0
ERI,2021,acute hepatitis e,FMLE,0.02
ERI,2021,hiv/aids,FMLE,8.72
ERI,2021,acute hepatitis b,FMLE,0.57
ERI,2021,tuberculosis,FMLE,12.11
ERI,2021,syphilis,FMLE,1.74
ERI,2021,genital herpes,FMLE,0.0
ERI,2021,acute hepatitis a,FMLE,0.64
ESP,2021,syphilis,FMLE,0.0
ESP,2021,genital herpes,FMLE,0.0
ESP,2021,tuberculosis,FMLE,0.27
ESP,2021,hiv/aids,FMLE,0.3
ESP,2021,acute hepatitis b,FMLE,0.09
ESP,2021,trichomoniasis,FMLE,0.0
ESP,2021,chlamydia,FMLE,0.0
ESP,2021,acute hepatitis e,FMLE,0.17
ESP,2021,malaria,FMLE,0.0
ESP,2021,acute hepatitis c,FMLE,0.5
ESP,2021,acute hepatitis a,FMLE,0.03
EST,2021,tuberculosis,FMLE,0.58
EST,2021,hiv/aids,FMLE,1.91
EST,2021,acute hepatitis b,FMLE,0.14
EST,2021,trichomoniasis,FMLE,0.0
EST,2021,acute hepatitis e,FMLE,0.01
EST,2021,chlamydia,FMLE,0.0
EST,2021,malaria,FMLE,0.0
EST,2021,acute hepatitis c,FMLE,0.29
EST,2021,acute hepatitis a,FMLE,0.18
EST,2021,syphilis,FMLE,0.15
EST,2021,genital herpes,FMLE,0.0
ETH,2021,syphilis,FMLE,1.78
ETH,2021,tuberculosis,FMLE,15.14
ETH,2021,genital herpes,FMLE,0.0
ETH,2021,acute hepatitis c,FMLE,0.19
ETH,2021,acute hepatitis a,FMLE,0.63
ETH,2021,chlamydia,FMLE,0.07
ETH,2021,acute hepatitis e,FMLE,0.02
ETH,2021,malaria,FMLE,5.56
ETH,2021,hiv/aids,FMLE,10.55
ETH,2021,acute hepatitis b,FMLE,0.48
ETH,2021,trichomoniasis,FMLE,0.0
FIN,2021,tuberculosis,FMLE,0.74
FIN,2021,genital herpes,FMLE,0.0
FIN,2021,syphilis,FMLE,0.04
FIN,2021,trichomoniasis,FMLE,0.0
FIN,2021,acute hepatitis e,FMLE,0.01
FIN,2021,hiv/aids,FMLE,0.04
FIN,2021,acute hepatitis b,FMLE,0.03
FIN,2021,acute hepatitis c,FMLE,0.0
FIN,2021,chlamydia,FMLE,0.0
FIN,2021,malaria,FMLE,0.0
