Field,Label,Value
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,All Health Indicators for Nigeria
resource_1_mimetype,MIME Type,
resource_1_size,Size,7.3M
resource_2_created,Created,2020-03-11T10:00:58.329818
resource_2_description,Description,"Health systems: Care-seeking by type of patient and source of care (%), Total density per 100 000 population: Hospitals, Total density per 100 000 population: Health posts, Total density per 100 000 population: Health centres, Total density per 100 000 population: District/rural hospitals, Total density per 100 000 population: Provincial hospitals, Total density per 100 000 population: Specialized hospitals, Hospital beds (per 10 000 population)"
resource_2_format,File Format,CSV
resource_2_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/db889a15-d529-4bad-9cb8-1e1ada6b907a/download/health_systems_indicators_nga.csv
resource_2_id,Resource ID,db889a15-d529-4bad-9cb8-1e1ada6b907a
resource_2_last_modified,Updated,2025-09-29T17:08:32.818014
resource_2_metadata_modified,Metadata Updated,2025-09-29T17:14:26.745157
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,Health systems Indicators for Nigeria
resource_2_mimetype,MIME Type,
resource_2_size,Size,9.7K
resource_3_created,Created,2020-03-11T10:00:58.329827
resource_3_description,Description,"Malaria: Estimated number of malaria cases, Estimated number of malaria deaths, Number of confirmed malaria cases, Estimated malaria incidence (per 1000 population at risk), Estimated malaria mortality rate (per 100 000 population), Number of imported malaria cases, Number of indigenous malaria cases, Number of malaria positive cases by microscopy, Number of malaria suspects examined by microscopy, Number of indigenous P. falciparum malaria cases, Number of presumed malaria cases, Number of indigenous P. vivax malaria cases, Number of malaria positive cases by rapid diagnostic test (RDT), Number of suspected malaria cases, Total number of  malaria cases (presumed + confirmed cases)"
resource_3_format,File Format,CSV
resource_3_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/adbe42d1-3de8-476b-aec3-ae41d35c796a/download/malaria_indicators_nga.csv
resource_3_id,Resource ID,adbe42d1-3de8-476b-aec3-ae41d35c796a
resource_3_last_modified,Updated,2025-09-29T17:08:33.000317
resource_3_metadata_modified,Metadata Updated,2025-09-29T17:14:27.993691
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_3_resource_type,Resource Type,file.upload
resource_3_name,Resource Name,Malaria Indicators for Nigeria
resource_3_mimetype,MIME Type,
resource_3_size,Size,33.5K
resource_4_created,Created,2020-03-11T10:00:58.329835
resource_4_description,Description,"Tuberculosis: Incidence of tuberculosis (per 100 000 population per year), Tuberculosis treatment coverage, New cases tested for RR-/MDR-TB (%), Previously treated cases tested for RR-/MDR-TB (%), Treatment success rate for patients treated for MDR-TB (%), Cases started on MDR-TB treatment, Treatment success rate: new TB cases, Tuberculosis - new and relapse cases, Treatment success rate: previously treated TB cases, Treatment success rate: HIV-positive TB cases, Number of incident tuberculosis cases, Number of incident tuberculosis cases in children aged 0 - 14, Estimated number of MDR/RR-TB incident cases, Incidence of tuberculosis (per 100 000 population) (HIV-positive cases), Number of incident tuberculosis cases,  (HIV-positive cases), HIV-positive TB patients on ART (antiretroviral therapy) (%), TB patients with known HIV status (%), Tested TB patients HIV-positive (%), Confirmed cases of RR-/MDR-TB"
resource_4_format,File Format,CSV
resource_4_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/a8c2ab4b-bb1d-4db3-a2a9-ff4d2a9a861f/download/tuberculosis_indicators_nga.csv
resource_4_id,Resource ID,a8c2ab4b-bb1d-4db3-a2a9-ff4d2a9a861f
resource_4_last_modified,Updated,2025-09-29T17:08:33.339316
resource_4_metadata_modified,Metadata Updated,2025-09-29T17:14:31.014883
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_4_resource_type,Resource Type,file.upload
resource_4_name,Resource Name,Tuberculosis Indicators for Nigeria
resource_4_mimetype,MIME Type,
resource_4_size,Size,82.3K
resource_5_created,Created,2020-03-11T10:00:58.329843
resource_5_description,Description,"Neglected tropical diseases: Number of new reported cases of human African trypanosomiasis (T.b. gambiense), Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense), Status of elimination of trachoma as a public health problem, Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem, Number of people who received treatment with antibiotics for trachoma, Number of confirmed cases of Buruli ulcer reported, Status of endemicity of Buruli ulcer, Number of suspected cases of Buruli ulcer reported, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis, Status of endemicity of onchocerciasis, Reported number of individuals treated for onchocerciasis, Number of people operated for trachomatous trichiasis, Status of endemicity of Taenia solium, Number of pigs in the country, Practice of backyard pig production, Status of yaws endemicity, Number of confirmed yaws cases reported"
resource_5_format,File Format,CSV
resource_5_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/b03c6bca-c7cd-45fd-86ca-934f09f6848c/download/neglected_tropical_diseases_indicators_nga.csv
resource_5_id,Resource ID,b03c6bca-c7cd-45fd-86ca-934f09f6848c
resource_5_last_modified,Updated,2025-09-29T17:08:33.531391
resource_5_metadata_modified,Metadata Updated,2025-09-29T17:14:29.725302
resource_5_microdata,Microdata,False
resource_5_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_5_resource_type,Resource Type,file.upload
resource_5_name,Resource Name,Neglected tropical diseases Indicators for Nigeria
resource_5_mimetype,MIME Type,
resource_5_size,Size,40.0K
resource_6_created,Created,2020-03-11T10:00:58.329850
resource_6_description,Description,"Nutrition: Low birth weight number (in thousands), Low birth weight prevalence (%), Prevalence of underweight among adults, BMI &lt; 18 (age-standardized estimate) (%), Prevalence of underweight among adults, BMI &lt; 18 (crude estimate) (%), Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%), Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%), Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%), Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%), Prevalence of thinness among children and adolescents, BMI &lt; -2 standard deviations below the median (crude estimate) (%), Prevalence of overweight among children and adolescents, BMI &gt; +1 standard deviations above the median (crude estimate) (%), Prevalence of obesity among children and adolescents, BMI &gt; +2 standard deviations above the median (crude estimate) (%), Overweight numbers among children under 5 years of age (thousands), model-based estimates, Number of children aged 6-59 months with anaemia (thousands), Prevalence of anaemia in children aged 6-59 months (%), Number of women of reproductive age (aged 15-49 years) with anaemia (thousands), Prevalence of anaemia in women of reproductive age (aged 15-49) (%), Stunting prevalence among children under 5 years of age (% height-for-age &lt;-2 SD), survey-based estimates, Overweight prevalence among children under 5 years of age (% weight-for-height &gt;+2 SD), survey-based estimates, Underweight prevalence among children under 5 years of age   (% weight-for-age &lt;-2 SD), survey-based estimates, Wasting prevalence among children under 5 years of age (% weight-for-height &lt;-2 SD), survey-based estimates, Severe wasted prevalence among children under 5 years of age   (% weight-for-height &lt;-3 SD), survey-based estimates, Severe wasted numbers among children under 5 years of age (millions), model-based estimates, Severe wasted prevalence among children under 5 years of age (%), model-based estimates, Stunting numbers among children under 5 years of age (millions), model-based estimates, Stunting prevalence among children under 5 years of age (% height-for-age &lt;-2 SD), model-based estimates, Underweight numbers among children under 5 years of age (millions), model-based estimates, Underweight prevalence among children under 5 years of age (%), model-based estimates, Wasted numbers among children under 5 years of age (millions), model-based estimates, Wasted prevalence among children under 5 years of age (%), model-based estimates, Continued breastfeeding 12-23 months, Exclusive breastfeeding under six months, Exclusively breastfed for the first two days after birth, Early Initiation of Breastfeeding, Children born in the last 24 months, Ever breastfed, Egg and/or Flesh Food Consumption 6-23 months, Introduction of solid, semi-solid or soft foods 6-8 months, Minimum Acceptable Diet 6-23 months, Minimum dietary diversity 6-23 months, Minimum Meal Frequency 6-23 months, Zero vegetable or fruit consumption, 6-23 months, Preterm birth (number), Preterm birth rate (per 100 live births)"
resource_6_format,File Format,CSV
resource_6_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/dddf2ea7-642e-4e45-a43c-5f6df54e72e2/download/nutrition_indicators_nga.csv
resource_6_id,Resource ID,dddf2ea7-642e-4e45-a43c-5f6df54e72e2
resource_6_last_modified,Updated,2025-09-29T17:08:33.719606
resource_6_metadata_modified,Metadata Updated,2025-09-29T17:14:32.208902
resource_6_microdata,Microdata,False
resource_6_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_6_resource_type,Resource Type,file.upload
resource_6_name,Resource Name,Nutrition Indicators for Nigeria
resource_6_mimetype,MIME Type,
resource_6_size,Size,2.5M
resource_7_created,Created,2020-03-11T10:00:58.329857
resource_7_description,Description,"World Health Statistics: Joint effects of air pollution attributable deaths, Number of deaths among children 5 to 14 years of age, Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years), Number of under-five deaths, Number of infant deaths, Number of neonatal deaths, Number of deaths among children ages 5 to 9 years, Number of deaths among adolescents (10 to 19 years of age), Households with out-of-pocket payments greater than 40% of capacity to pay for health care (food, housing and utilities approach - developed by WHO/Europe) (%, national), Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions), Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%), Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%), Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%), Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%), Households  impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: food, housing, utilities - developed by WHO/Europe) (%, national), Households further impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: food, housing, utilities - developed by WHO/Europe) (%, national), Households pushed below or further below a relative poverty line (reflecting basic needs: food, housing, utilities - developed by WHO/Europe) by out-of-pocket payments (%, national), Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%), Population pushed below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban), Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban), Population pushed below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban), Population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban), Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions), Total population pushed below the $2.15 a day poverty line by household health expenditures (millions, regional, global), Total population pushed below the $2.15 a day poverty line by household health expenditures (%, regional, global), Total population pushed below the $3.20 a day poverty line by household health expenditures (millions), Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global), Total population pushed below the $3.65 a day poverty line by household health expenditures (millions, regional, global), Total population pushed below the $3.65 a day poverty line by household health expenditures (%, regional, global), Total population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (millions, regional, global), Total population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, regional, global), Total population pushed further below the $1.90 a day poverty line by household health expenditures (millions, regional, global), Total population pushed further below the $1.90 a day poverty line by household health expenditures (%, regional, global), Population pushed further below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban), Population pushed further below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban), Total population pushed further below the $3.20 a day poverty line by household health expenditures (millions, regional, global), Total population pushed further below the $3.20 a day poverty line by household health expenditures (%, regional, global), Population pushed further below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban), Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban), Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban), Total population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (millions, regional, global), Total population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, regional, global), Total population pushed further below the $2.15 a day poverty line by household health expenditures (millions, regional, global), Total population pushed further below the $2.15 a day poverty line by household health expenditures (%, regional, global), Total population pushed further below the $3.65 a day poverty line by household health expenditures (millions, regional, global), Total population pushed further below the $3.65 a day poverty line by household health expenditures (%, regional, global), Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%), Current health expenditure (CHE) per capita in US$, External health expenditure (EXT) as percentage of current health expenditure (CHE) (%), External health expenditure (EXT) per capita in US$, Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%), Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%), Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%), Domestic general government health expenditure (GGHE-D) per capita in US$, Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%), Out-of-pocket expenditure (OOP) per capita in US$, Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%), Domestic private health expenditure (PVT-D) per capita in US$, Estimated number of people (all ages) living with HIV, Number of people dying from HIV-related causes, Number of new HIV infections, Medical doctors (per 10,000), Medical doctors (number), Generalist medical practitioners (number), Specialist medical practitioners (number), Medical doctors not further defined (number), Nursing and midwifery personnel (per 10,000), Nursing and midwifery personnel  (number), Nursing personnel (number), Midwifery personnel (number), Dentists (per 10,000), Dentists (number), Dental Assistants and Therapists (number), Dental Prosthetic Technicians (number), Pharmacists  (number), Pharmaceutical Technicians and Assistants  (number), Environmental and Occupational Health and Hygiene Professionals  (number), Environmental and Occupational Health Inspectors and Associates  (number), Medical and Pathology Laboratory scientists  (number), Medical and Pathology Laboratory Technicians  (number), Physiotherapists (number), Physiotherapy Technicians and Assistants  (number), Community Health Workers (number), Proportion of vaccination cards seen (%), Estimated malaria incidence (per 1000 population at risk), Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%), Infant mortality rate (probability of dying between birth and age 1 per 1000 live births), Adolescent birth rate (per 1000 women), Under-five mortality rate (probability of dying by age 5 per 1000 live births), Incidence of tuberculosis (per 100 000 population per year), Prevalence of HIV among adults aged 15 to 49 (%), Mental health policy, Stand-alone policy or plan for mental health, Stand-alone mental health legislation, Government expenditures on mental health as a percentage of total government expenditures on health (%), Adolescent mortality rate (per 1 000 age specific cohort), Number of deaths in children aged &lt;5 years, by cause, Deaths per 1 000 live births, Distribution of causes of death among children aged &lt; 5 years (%), Estimate of current cigarette smoking prevalence (%) (age-standardized rate), Estimate of current tobacco smoking prevalence (%) (age-standardized rate), Estimate of current tobacco use prevalence (%) (age-standardized rate), NCD country capacity survey response, Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease, Prevalence of underweight among adults, BMI &lt; 18 (age-standardized estimate) (%), Prevalence of underweight among adults, BMI &lt; 18 (crude estimate) (%), Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%), Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%), Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%), Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%), Prevalence of thinness among children and adolescents, BMI &lt; -2 standard deviations below the median (crude estimate) (%), Prevalence of overweight among children and adolescents, BMI &gt; +1 standard deviations above the median (crude estimate) (%), Prevalence of obesity among children and adolescents, BMI &gt; +2 standard deviations above the median (crude estimate) (%), Mean HDL cholesterol, age-standardized, Mean HDL cholesterol, crude, Mean Non-HDL cholesterol, age-standardized, Mean Non-HDL cholesterol, crude, Mean total cholesterol,  age-standardized, Mean total cholesterol,  crude, Prevalence of cervical cancer screening  among women aged 30-49 years (%), Prevalence of diabetes, age-standardized, Prevalence of diabetes, crude, Diabetes treatment coverage, age-standardized, Total NCD Deaths, Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%), Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%), Insufficiently active (crude estimate), Vision and eyecare: Effective refractive error coverage (eREC) (%), Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths, Overweight numbers among children under 5 years of age (thousands), model-based estimates, Prevalence of anaemia in children aged 6-59 months (%), Prevalence of anaemia in women of reproductive age (aged 15-49) (%), Stunting prevalence among children under 5 years of age (% height-for-age &lt;-2 SD), survey-based estimates, Overweight prevalence among children under 5 years of age (% weight-for-height &gt;+2 SD), survey-based estimates, Underweight prevalence among children under 5 years of age   (% weight-for-age &lt;-2 SD), survey-based estimates, Wasting prevalence among children under 5 years of age (% weight-for-height &lt;-2 SD), survey-based estimates, Severe wasted prevalence among children under 5 years of age   (% weight-for-height &lt;-3 SD), survey-based estimates, Severe wasted numbers among children under 5 years of age (millions), model-based estimates, Severe wasted prevalence among children under 5 years of age (%), model-based estimates, Stunting numbers among children under 5 years of age (millions), model-based estimates, Stunting prevalence among children under 5 years of age (% height-for-age &lt;-2 SD), model-based estimates, Underweight numbers among children under 5 years of age (millions), model-based estimates, Underweight prevalence among children under 5 years of age (%), model-based estimates, Wasted numbers among children under 5 years of age (millions), model-based estimates, Wasted prevalence among children under 5 years of age (%), model-based estimates, Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%), Proportion of population with primary reliance on clean fuels and technologies for cooking (%), Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%), Estimated road traffic death rate (per 100 000 population), Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average, Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis, Hepatitis B surface antigen (HBsAg) prevalence (%), New HIV infections (per 1000 uninfected population), HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%), Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, Reported number of people requiring interventions against NTDs, Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country, Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions), Concentrations of fine particulate matter (PM2.5), Mortality rate attributed to unintentional poisoning (per 100 000 population), Crude suicide rates (per 100 000 population), Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2), Life expectancy at birth (years), Healthy life expectancy (HALE) at birth (years), Neonatal mortality rate (per 1000 live births), Healthy life expectancy (HALE) at age 60 (years), Stillbirth rate (per 1000 total births), Life expectancy at age 60 (years), Mortality rate among children ages 5 to 9 years (per 1000 children aged 5), Diphtheria - number of reported cases, Japanese encephalitis - number of reported cases, Pertussis - number of reported cases, Total tetanus - number of reported cases, Poliomyelitis - number of reported cases, Yellow fever - number of reported cases, Mumps - number of reported cases, Congenital Rubella Syndrome - number of reported cases, Neonatal tetanus - number of reported cases, Rubella - number of reported cases, Measles - number of reported cases, Hepatitis B (HepB3) immunization coverage among 1-year-olds (%), Neonates protected at birth against neonatal tetanus (PAB) (%), Hib (Hib3) immunization coverage among 1-year-olds (%), BCG immunization coverage among 1-year-olds (%), Polio (Pol3) immunization coverage among 1-year-olds (%), Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%), SDG 6.3.1 Proportion of safely treated domestic wastewater flows (%), Population with basic handwashing facilities at home (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic drinking-water services (%), Population using safely managed drinking-water services (%)"
resource_7_format,File Format,CSV
resource_7_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/09a978f4-5c9c-4fc9-acc9-b1d390f065cb/download/world_health_statistics_indicators_nga.csv
resource_7_id,Resource ID,09a978f4-5c9c-4fc9-acc9-b1d390f065cb
resource_7_last_modified,Updated,2025-09-29T17:08:34.120387
resource_7_metadata_modified,Metadata Updated,2025-09-29T17:14:33.292346
resource_7_microdata,Microdata,False
resource_7_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_7_resource_type,Resource Type,file.upload
resource_7_name,Resource Name,World Health Statistics Indicators for Nigeria
resource_7_mimetype,MIME Type,
resource_7_size,Size,4.5M
resource_8_created,Created,2020-03-11T10:00:58.329864
resource_8_description,Description,"Child mortality: Number of deaths among children 5 to 14 years of age, Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years), Number of under-five deaths, Number of infant deaths, Number of neonatal deaths, Number of deaths among children ages 5 to 9 years, Number of deaths among adolescents (10 to 19 years of age), Infant mortality rate (probability of dying between birth and age 1 per 1000 live births), Under-five mortality rate (probability of dying by age 5 per 1000 live births), Adolescent mortality rate (per 1 000 age specific cohort), Number of deaths in children aged &lt;5 years, by cause, Deaths per 1 000 live births, Distribution of causes of death among children aged &lt; 5 years (%), Neonatal mortality rate (per 1000 live births), Stillbirth rate (per 1000 total births), Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)"
resource_8_format,File Format,CSV
resource_8_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/68584936-d48d-4c42-9418-c2f0d7950435/download/child_mortality_indicators_nga.csv
resource_8_id,Resource ID,68584936-d48d-4c42-9418-c2f0d7950435
resource_8_last_modified,Updated,2025-09-29T17:08:34.326160
resource_8_metadata_modified,Metadata Updated,2025-09-29T17:14:34.403022
resource_8_microdata,Microdata,False
resource_8_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_8_resource_type,Resource Type,file.upload
resource_8_name,Resource Name,Child mortality Indicators for Nigeria
resource_8_mimetype,MIME Type,
resource_8_size,Size,1.2M
resource_9_created,Created,2020-03-11T10:00:58.329872
resource_9_description,Description,"Noncommunicable diseases: Estimate of current cigarette smoking prevalence (%), Estimate of current cigarette smoking prevalence (%) (age-standardized rate), Estimate of current tobacco smoking prevalence (%), Estimate of current tobacco smoking prevalence (%) (age-standardized rate), Estimate of current tobacco use prevalence (%), Estimate of current tobacco use prevalence (%) (age-standardized rate), Monitoring tobacco use and prevention policies, NCD country capacity survey response, Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease, Prevalence of underweight among adults, BMI &lt; 18 (age-standardized estimate) (%), Prevalence of underweight among adults, BMI &lt; 18 (crude estimate) (%), Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%), Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%), Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%), Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%), Prevalence of thinness among children and adolescents, BMI &lt; -2 standard deviations below the median (crude estimate) (%), Prevalence of overweight among children and adolescents, BMI &gt; +1 standard deviations above the median (crude estimate) (%), Prevalence of obesity among children and adolescents, BMI &gt; +2 standard deviations above the median (crude estimate) (%), Mean HDL cholesterol, age-standardized, Mean HDL cholesterol, crude, Mean Non-HDL cholesterol, age-standardized, Mean Non-HDL cholesterol, crude, Mean total cholesterol,  age-standardized, Mean total cholesterol,  crude, Prevalence of cervical cancer screening  among women aged 30-49 years (%), Prevalence of diabetes, age-standardized, Prevalence of diabetes, crude, Diabetes treatment coverage, age-standardized, Total NCD Deaths, Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%), Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%), Insufficiently active (crude estimate), Vision and eyecare: Effective refractive error coverage (eREC) (%), Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths, Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type, Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average, Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average, Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average, Crude suicide rates (per 100 000 population)"
resource_9_format,File Format,CSV
resource_9_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/098030a0-9599-4a6d-b337-9520104e80fd/download/noncommunicable_diseases_indicators_nga.csv
resource_9_id,Resource ID,098030a0-9599-4a6d-b337-9520104e80fd
resource_9_last_modified,Updated,2025-09-29T17:08:34.532165
resource_9_metadata_modified,Metadata Updated,2025-09-29T17:14:38.955721
resource_9_microdata,Microdata,False
resource_9_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_9_resource_type,Resource Type,file.upload
resource_9_name,Resource Name,Noncommunicable diseases Indicators for Nigeria
resource_9_mimetype,MIME Type,
resource_9_size,Size,1.3M
resource_10_created,Created,2020-03-11T10:00:58.330007
resource_10_description,Description,"Maternal and reproductive health: Adolescent birth rate (per 1000 women), Births attended by skilled health personnel (%), Number of women of reproductive age (aged 15-49 years) with anaemia (thousands), Prevalence of anaemia in women of reproductive age (aged 15-49) (%), Proportion of births delivered in a health facility (Facility births) (%), Births by caesarean section (%), Antenatal care coverage - at least four visits (%)"
resource_10_format,File Format,CSV
resource_10_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/76851ea2-4b2e-4241-9963-c1c60ff02f3b/download/maternal_and_reproductive_health_indicators_nga.csv
resource_10_id,Resource ID,76851ea2-4b2e-4241-9963-c1c60ff02f3b
resource_10_last_modified,Updated,2025-09-29T17:08:34.754718
resource_10_metadata_modified,Metadata Updated,2025-09-29T17:14:35.597746
resource_10_microdata,Microdata,False
resource_10_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
