GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2013,2013,2013,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,24.76664,25
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,35.47536,35
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2009,2009,2009,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,29.41993,29
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2008,2008,2008,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,23.75119,24
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,39.21938,39
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,30.00817,30
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2011,2011,2011,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,32.02477,32
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2016,2016,2016,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,32.21765,32
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2007,2007,2007,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,32.26769,32
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2012,2012,2012,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,14.98669,15
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2009,2009,2009,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,33.86029,34
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,216.2411,216.2
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2004,2004,2004,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,28.70506,29
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2004,2004,2004,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,15.47549,15
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,56.04514,56
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2000,2000,2000,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,19.50492,20
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,42.22626,42
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2011,2011,2011,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,30.77859,31
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2010,2010,2010,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,24.11449,24
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2002,2002,2002,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,9.72063,10
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2005,2005,2005,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,30.76891,31
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2002,2002,2002,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,28.68635,29
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,29.96468,30
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2003,2003,2003,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,22.54424,23
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2003,2003,2003,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,29.35926,29
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2000,2000,2000,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,8.90929,9
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,17.97967,18
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,28.42103,28
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,50.06717,50
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2010,2010,2010,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,21.18622,21
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2001,2001,2001,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,12.96582,13
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2005,2005,2005,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,33.51854,34
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2003,2003,2003,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,10.20405,10
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2007,2007,2007,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,36.13234,36
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,27.49724,27
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2000,2000,2000,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,22.17646,22
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2016,2016,2016,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,34.17954,34
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,41.19972,41
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2016,2016,2016,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,25.40629,25
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,143.3971,143.4
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,16.75368,17
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2013,2013,2013,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,15.56608,16
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2011,2011,2011,AFR,Africa,NGA,Nigeria,,,,113.3332,113.3
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2001,2001,2001,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,9.24682,9
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2011,2011,2011,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,41.53312,42
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2013,2013,2013,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,33.40204,33
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,26.23974,26
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2007,2007,2007,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,23.01845,23
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2013,2013,2013,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,23.79167,24
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,33.92037,34
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,47.16476,47
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2006,2006,2006,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,29.3045,29
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,26.44463,26
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2004,2004,2004,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,23.20213,23
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2007,2007,2007,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,23.44985,23
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2004,2004,2004,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,21.92152,22
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2022,2022,2022,AFR,Africa,NGA,Nigeria,,,,154.3145,154.3
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,26.13001,26
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,234.0311,234.0
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,35.21619,35
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2010,2010,2010,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,25.57239,26
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,19.89064,20
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2014,2014,2014,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,16.15508,16
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2003,2003,2003,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,14.61391,15
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,19.24405,19
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2002,2002,2002,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,28.10001,28
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2022,2022,2022,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,31.97157,32
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,216.0094,216.0
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2001,2001,2001,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,19.67323,20
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2014,2014,2014,AFR,Africa,NGA,Nigeria,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,24.98124,25
