indicator_code,indicator_name,year,start_year,end_year,dimension_type,dimension_code,dimension_name,numeric,value
CM_01,Number of under-five deaths,2013,2013,2013,SEX,SEX_BTSX,Both sexes,92643.0,92 643 [80 889-106 318]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,2004,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0
MORT_200,Deaths per 1 000 live births,2014,2014,2014,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0
CM_01,Number of under-five deaths,2015,2015,2015,SEX,SEX_BTSX,Both sexes,91993.0,91 993 [77 777-109 565]
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2018,2018,2018,SEX,SEX_FMLE,Female,61.602371111,61.6 [49.8-77.3]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2010,2010,2010,SEX,SEX_BTSX,Both sexes,33880.0,33 880 [18 606-50 119]
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2021,2021,2021,SEX,SEX_BTSX,Both sexes,14.249774923,14.2 [8.7-22.2]
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),1992,1992,1992,SEX,SEX_BTSX,Both sexes,49.995605615,50.0 [44.8-55.6]
MORT_100,"Number of deaths in children aged <5 years, by cause",2010,2010,2010,SEX,SEX_BTSX,Both sexes,2004.58399,2004.6
MORT_100,"Number of deaths in children aged <5 years, by cause",2020,2020,2020,SEX,SEX_BTSX,Both sexes,134401.3156,134401.3
MORT_100,"Number of deaths in children aged <5 years, by cause",2006,2006,2006,SEX,SEX_BTSX,Both sexes,0.0,0.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1991,1991,1991,SEX,SEX_BTSX,Both sexes,119.020793111,119.0 [104.3-135.5]
MORT_200,Deaths per 1 000 live births,2010,2010,2010,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.04873,0
CM_01,Number of under-five deaths,2008,2008,2008,SEX,SEX_BTSX,Both sexes,235541.0,235 541 [214 630-258 213]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,2015,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.2323,0.2
MORT_100,"Number of deaths in children aged <5 years, by cause",2016,2016,2016,SEX,SEX_BTSX,Both sexes,1331.16538,1331.2
MORT_100,"Number of deaths in children aged <5 years, by cause",2005,2005,2005,SEX,SEX_BTSX,Both sexes,154915.0514,154915.1
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2019,2019,2019,SEX,SEX_MLE,Male,40865.0,40 865 [25 771-62 284]
CM_02,Number of infant deaths,1968,1968,1968,SEX,SEX_FMLE,Female,173509.0,173 509 [154 470-195 736]
MORT_100,"Number of deaths in children aged <5 years, by cause",2011,2011,2011,SEX,SEX_BTSX,Both sexes,45311.99973,45312.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,2002,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.05828,0.1
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2000,2000,2000,SEX,SEX_MLE,Male,16276.0,16 276 [9623-23 241]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,2015,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.04037,0
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),2021,2021,2021,SEX,SEX_BTSX,Both sexes,34.89763857,34.9 [25.0-49.5]
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2016,2016,2016,SEX,SEX_MLE,Male,130.541426749,130.5 [110.3-156.2]
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,2023,2023,2023,SEX,SEX_MLE,Male,60621.0,60 621 [44 963-86 102]
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),1968,1968,1968,SEX,SEX_BTSX,Both sexes,68.602679174,68.6 [58.5-81.4]
MORT_100,"Number of deaths in children aged <5 years, by cause",2007,2007,2007,SEX,SEX_BTSX,Both sexes,32042.35449,32042.4
CM_01,Number of under-five deaths,1998,1998,1998,SEX,SEX_BTSX,Both sexes,953953.0,953 953 [895 413-1 015 757]
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1991,1991,1991,SEX,SEX_MLE,Male,218.484209457,218.5 [204.0-233.8]
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2005,2005,2005,SEX,SEX_BTSX,Both sexes,10.931632199,10.9 [9.2-13.0]
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),1969,1969,1969,SEX,SEX_BTSX,Both sexes,67.509794773,67.5 [57.9-79.9]
MORT_200,Deaths per 1 000 live births,2001,2001,2001,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,4.94742,4.9
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),1979,1979,1979,SEX,SEX_BTSX,Both sexes,54.521603325,54.5 [48.2-61.8]
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,10.55127,10.6
MORT_100,"Number of deaths in children aged <5 years, by cause",2015,2015,2015,SEX,SEX_BTSX,Both sexes,27361.769130313,27 362
MORT_200,Deaths per 1 000 live births,2006,2006,2006,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,3.95092,4
MORT_100,"Number of deaths in children aged <5 years, by cause",2004,2004,2004,SEX,SEX_BTSX,Both sexes,33624.001740259,33 624
CM_01,Number of under-five deaths,2017,2017,2017,SEX,SEX_BTSX,Both sexes,142862.0,142 862 [116 910-177 304]
MORT_100,"Number of deaths in children aged <5 years, by cause",2000,2000,2000,SEX,SEX_BTSX,Both sexes,5638.63905,5638.6
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2012,2012,2012,SEX,SEX_MLE,Male,77.992114742,78.0 [70.2-87.0]
MORT_200,Deaths per 1 000 live births,2004,2004,2004,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,25.39723,25.4
MORT_100,"Number of deaths in children aged <5 years, by cause",2007,2007,2007,SEX,SEX_BTSX,Both sexes,159181.747,159181.7
MORT_100,"Number of deaths in children aged <5 years, by cause",2002,2002,2002,SEX,SEX_BTSX,Both sexes,24577.12433,24577.1
MORT_100,"Number of deaths in children aged <5 years, by cause",2011,2011,2011,SEX,SEX_BTSX,Both sexes,139794.5122,139794.5
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1966,1966,1966,SEX,SEX_BTSX,Both sexes,165.33048249,165.3 [146.5-187.3]
MORT_200,Deaths per 1 000 live births,2007,2007,2007,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,24.29316,24.3
MORT_100,"Number of deaths in children aged <5 years, by cause",2020,2020,2020,SEX,SEX_BTSX,Both sexes,10930.9209,10930.9
MORT_200,Deaths per 1 000 live births,2005,2005,2005,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,21.31157,21.3
MORT_200,Deaths per 1 000 live births,2011,2011,2011,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,1.36507,1.4
MORT_100,"Number of deaths in children aged <5 years, by cause",2013,2013,2013,SEX,SEX_BTSX,Both sexes,23970.795475234,23 971
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2005,2005,2005,SEX,SEX_BTSX,Both sexes,83.671145488,83.7 [78.2-89.6]
CM_02,Number of infant deaths,1995,1995,1995,SEX,SEX_FMLE,Female,223715.0,223 715 [209 526-239 058]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2016,2016,2016,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.31597,0.3
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2017,2017,2017,SEX,SEX_BTSX,Both sexes,21.10428497,21.1 [17.1-26.3]
CM_03,Number of neonatal deaths,1994,1994,1994,SEX,SEX_BTSX,Both sexes,236793.0,236 793 [213 087-262 456]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,2013,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.14454,0.1
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2022,2022,2022,SEX,SEX_MLE,Male,19.67996987,19.7 [14.7-27.5]
MORT_100,"Number of deaths in children aged <5 years, by cause",2021,2021,2021,SEX,SEX_BTSX,Both sexes,14804.916590964,14 805
MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,2012,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.03941,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,2012,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0392,0
MORT_200,Deaths per 1 000 live births,2013,2013,2013,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,11.59261,11.6
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,2017,2017,2017,SEX,SEX_FMLE,Female,56315.0,56 315 [46 527-69 123]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,2008,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.11206,0.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,2001,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.25554,0.3
CM_01,Number of under-five deaths,1994,1994,1994,SEX,SEX_BTSX,Both sexes,224992.0,224 992 [201 565-250 177]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1992,1992,1992,SEX,SEX_BTSX,Both sexes,34912.0,34 912 [25 101-46 936]
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1991,1991,1991,SEX,SEX_FMLE,Female,16.994758282,17.0 [11.8-23.5]
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,3.04795,3
MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,2003,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.02472,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2020,2020,2020,SEX,SEX_BTSX,Both sexes,5603.14479,5603.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,2013,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.06053,0.1
CM_02,Number of infant deaths,2013,2013,2013,SEX,SEX_BTSX,Both sexes,513546.0,513 546 [459 376-577 566]
MORT_100,"Number of deaths in children aged <5 years, by cause",2021,2021,2021,SEX,SEX_BTSX,Both sexes,0.0,0.0
CM_01,Number of under-five deaths,1995,1995,1995,SEX,SEX_BTSX,Both sexes,170304.0,170 304 [151 960-191 301]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2008,2008,2008,SEX,SEX_FMLE,Female,15627.0,15 627 [8893-22 652]
MORT_100,"Number of deaths in children aged <5 years, by cause",2001,2001,2001,SEX,SEX_BTSX,Both sexes,10537.883056641,10 538
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),1993,1993,1993,SEX,SEX_FMLE,Female,34.770961667,34.8 [30.2-40.4]
CM_02,Number of infant deaths,1986,1986,1986,SEX,SEX_MLE,Male,220753.0,220 753 [204 445-237 517]
MORT_100,"Number of deaths in children aged <5 years, by cause",2000,2000,2000,SEX,SEX_BTSX,Both sexes,24134.50387,24134.5
MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,2017,2017,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,2007,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00094,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2006,2006,2006,SEX,SEX_BTSX,Both sexes,21994.11475,21994.1
MORT_200,Deaths per 1 000 live births,2001,2001,2001,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,13.18707,13.2
MORT_100,"Number of deaths in children aged <5 years, by cause",2002,2002,2002,SEX,SEX_BTSX,Both sexes,11387.37924,11387.4
MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,2013,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00139,0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2017,2017,2017,SEX,SEX_BTSX,Both sexes,61.570673471,61.6 [49.9-76.9]
MORT_100,"Number of deaths in children aged <5 years, by cause",2001,2001,2001,SEX,SEX_BTSX,Both sexes,216947.561049948,216 948
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1997,1997,1997,SEX,SEX_FMLE,Female,13.987178824,14.0 [10.8-17.8]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2005,2005,2005,SEX,SEX_BTSX,Both sexes,65062.0,65 062 [51 227-79 766]
MORT_100,"Number of deaths in children aged <5 years, by cause",2010,2010,2010,SEX,SEX_BTSX,Both sexes,84632.956215641,84 633
MORT_100,"Number of deaths in children aged <5 years, by cause",2005,2005,2005,SEX,SEX_BTSX,Both sexes,45558.84202,45558.8
MORT_100,"Number of deaths in children aged <5 years, by cause",2011,2011,2011,SEX,SEX_BTSX,Both sexes,25353.097799343,25 353
MORT_100,"Number of deaths in children aged <5 years, by cause",2006,2006,2006,SEX,SEX_BTSX,Both sexes,114769.8217,114769.8
CM_01,Number of under-five deaths,2017,2017,2017,SEX,SEX_BTSX,Both sexes,234706.0,234 706 [192 907-289 673]
CM_01,Number of under-five deaths,2009,2009,2009,SEX,SEX_BTSX,Both sexes,233612.0,233 612 [211 105-256 955]
MORT_200,Deaths per 1 000 live births,2004,2004,2004,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,4.22108,4.2
CM_02,Number of infant deaths,1966,1966,1966,SEX,SEX_MLE,Male,207874.0,207 874 [183 793-235 095]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,2017,2017,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00137,0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2009,2009,2009,SEX,SEX_BTSX,Both sexes,111.684857926,111.7 [100.4-123.9]
CM_01,Number of under-five deaths,1971,1971,1971,SEX,SEX_MLE,Male,375704.0,375 704 [336 960-422 277]
MORT_100,"Number of deaths in children aged <5 years, by cause",2007,2007,2007,SEX,SEX_BTSX,Both sexes,53924.50117221732,9210.405471956225
CM_01,Number of under-five deaths,2012,2012,2012,SEX,SEX_BTSX,Both sexes,239032.0,239 032 [213 253-268 387]
MORT_100,"Number of deaths in children aged <5 years, by cause",2008,2008,2008,SEX,SEX_BTSX,Both sexes,2176.15903,2176.2
MORT_200,Deaths per 1 000 live births,2001,2001,2001,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,4.00367,4
